id,user_name,category_url,category_name,pages_loaded,load_time,load_date,load_time_start,load_time_end,items_count,max_bonus_percent
131,user1,https://megamarket.ru/catalog/av-resivery/,AV ресиверы,11,23.0,2024-08-07 03:34:51,2024-08-07 03:34:29,2024-08-07 03:34:51,444,30.0
132,user1,https://megamarket.ru/catalog/passivnye-kolonki/,Пассивные колонки,90,168.0,2024-08-07 03:37:40,2024-08-07 03:34:53,2024-08-07 03:37:40,3934,20.0
134,user1,https://megamarket.ru/catalog/aktivnye-kolonki/,Активная акустическая система,45,80.0,2024-08-07 03:39:02,2024-08-07 03:37:42,2024-08-07 03:39:02,1952,30.0
135,user1,https://megamarket.ru/catalog/sabvufery/,Сабвуферы,26,41.0,2024-08-07 03:39:44,2024-08-07 03:39:03,2024-08-07 03:39:44,1108,15.0
136,user1,https://megamarket.ru/catalog/nabory-i-komplekty-akustiki/,Наборы и комплекты акустики,45,73.0,2024-08-07 03:40:59,2024-08-07 03:39:45,2024-08-07 03:40:59,1961,30.0
137,user1,https://megamarket.ru/catalog/proigryvateli-vinilovyh-diskov/,Проигрыватели виниловых пластинок,27,54.0,2024-08-07 03:41:54,2024-08-07 03:41:00,2024-08-07 03:41:54,1165,16.0
138,user1,https://megamarket.ru/catalog/vinilovye-plastinki/,Виниловые пластинки,1102,2067.0,2024-08-07 04:16:22,2024-08-07 03:41:55,2024-08-07 04:16:22,48462,16.0
139,user1,https://megamarket.ru/catalog/prochaya-hi-fi-tehnika-i-aksessuary/,Аксессуары к Hi-Fi технике,505,924.0,2024-08-07 04:31:48,2024-08-07 04:16:24,2024-08-07 04:31:48,22198,36.0
140,user1,https://megamarket.ru/catalog/capy/,Цифро-аналоговые преобразователи (ЦАПы),8,16.0,2024-08-07 04:32:06,2024-08-07 04:31:50,2024-08-07 04:32:06,348,15.0
141,user1,https://megamarket.ru/catalog/domashnie-kinoteatry/,Домашние кинотеатры,82,143.0,2024-08-07 04:34:30,2024-08-07 04:32:08,2024-08-07 04:34:30,3589,35.0
142,user1,https://megamarket.ru/catalog/proektory/,Проекторы (Видеопроекторы),105,206.0,2024-08-07 04:37:58,2024-08-07 04:34:32,2024-08-07 04:37:58,4594,35.0
143,user1,https://megamarket.ru/catalog/aksessuary-dlya-proektorov/,Аксессуары для проекторов,59,108.0,2024-08-07 04:39:47,2024-08-07 04:37:59,2024-08-07 04:39:47,2568,19.0
144,user1,https://megamarket.ru/catalog/ekrany-dlya-proektorov/,Экраны для проекторов,63,119.0,2024-08-07 04:41:48,2024-08-07 04:39:49,2024-08-07 04:41:48,2735,21.0
145,user1,https://megamarket.ru/catalog/elektronnye-knigi/,Электронные книги,17,30.0,2024-08-07 04:42:18,2024-08-07 04:41:49,2024-08-07 04:42:18,730,17.0
147,user1,https://megamarket.ru/catalog/igrovye-pristavki-nintendo/,Игровые приставки Nintendo,25,44.0,2024-08-07 04:43:04,2024-08-07 04:42:20,2024-08-07 04:43:04,1093,35.0
148,user1,https://megamarket.ru/catalog/igrovye-pristavki-xbox/,Игровые приставки Xbox,13,22.0,2024-08-07 04:43:27,2024-08-07 04:43:05,2024-08-07 04:43:27,571,35.0
149,user1,https://megamarket.ru/catalog/geympady/,Геймпады,114,200.0,2024-08-07 04:46:48,2024-08-07 04:43:28,2024-08-07 04:46:48,5006,35.0
150,user1,https://megamarket.ru/catalog/aksessuary-dlya-igrovyh-pristavok/,Аксессуары для консолей,90,149.0,2024-08-07 04:49:19,2024-08-07 04:46:50,2024-08-07 04:49:19,3913,36.0
